name,age,department,city,college,id,timestamp
Student_1,24,Civil Engineering,Mumbai,IIT Ahmedabad,1,2023-01-01 00:00:00
Student_2,25,Civil Engineering,Ahmedabad,IIT Pune,2,2023-01-01 00:01:00
Student_3,23,Chemical Engineering,Hyderabad,IIT Jaipur,3,2023-01-01 00:02:00
Student_4,20,Mechanical Engineering,Bangalore,IIT Delhi,4,2023-01-01 00:03:00
Student_5,22,Chemical Engineering,Lucknow,IIT Bangalore,5,2023-01-01 00:04:00
Student_6,22,Computer Science,Delhi,IIT Chennai,6,2023-01-01 00:05:00
Student_7,25,Chemical Engineering,Delhi,IIT Chennai,7,2023-01-01 00:06:00
Student_8,24,Mechanical Engineering,Lucknow,IIT Hyderabad,8,2023-01-01 00:07:00
Student_9,25,Civil Engineering,Jaipur,IIT Ahmedabad,9,2023-01-01 00:08:00
Student_10,18,Chemical Engineering,Mumbai,IIT Delhi,10,2023-01-01 00:09:00
Student_11,24,Biotechnology,Mumbai,IIT Lucknow,11,2023-01-01 00:10:00
Student_12,25,Mechanical Engineering,Hyderabad,IIT Chennai,12,2023-01-01 00:11:00
Student_13,19,Electrical Engineering,Lucknow,IIT Hyderabad,13,2023-01-01 00:12:00
Student_14,21,Electrical Engineering,Jaipur,IIT Pune,14,2023-01-01 00:13:00
Student_15,19,Computer Science,Chennai,IIT Jaipur,15,2023-01-01 00:14:00
Student_16,25,Computer Science,Ahmedabad,IIT Jaipur,16,2023-01-01 00:15:00
Student_17,22,Biotechnology,Delhi,IIT Jaipur,17,2023-01-01 00:16:00
Student_18,23,Chemical Engineering,Hyderabad,IIT Lucknow,18,2023-01-01 00:17:00
Student_19,22,Civil Engineering,Delhi,IIT Lucknow,19,2023-01-01 00:18:00
Student_20,24,Mechanical Engineering,Lucknow,IIT Hyderabad,20,2023-01-01 00:19:00
Student_21,22,Electrical Engineering,Hyderabad,IIT Bangalore,21,2023-01-01 00:20:00
Student_22,18,Chemical Engineering,Ahmedabad,IIT Pune,22,2023-01-01 00:21:00
Student_23,19,Computer Science,Bangalore,IIT Bangalore,23,2023-01-01 00:22:00
Student_24,18,Computer Science,Jaipur,IIT Kolkata,24,2023-01-01 00:23:00
Student_25,22,Chemical Engineering,Hyderabad,IIT Hyderabad,25,2023-01-01 00:24:00
Student_26,24,Chemical Engineering,Ahmedabad,IIT Pune,26,2023-01-01 00:25:00
Student_27,25,Biotechnology,Chennai,IIT Delhi,27,2023-01-01 00:26:00
Student_28,23,Chemical Engineering,Delhi,IIT Pune,28,2023-01-01 00:27:00
Student_29,23,Electrical Engineering,Hyderabad,IIT Bombay,29,2023-01-01 00:28:00
Student_30,22,Computer Science,Hyderabad,IIT Chennai,30,2023-01-01 00:29:00
Student_31,20,Mechanical Engineering,Kolkata,IIT Bombay,31,2023-01-01 00:30:00
Student_32,19,Electrical Engineering,Hyderabad,IIT Bombay,32,2023-01-01 00:31:00
Student_33,19,Computer Science,Delhi,IIT Hyderabad,33,2023-01-01 00:32:00
Student_34,19,Civil Engineering,Delhi,IIT Chennai,34,2023-01-01 00:33:00
Student_35,19,Computer Science,Lucknow,IIT Bombay,35,2023-01-01 00:34:00
Student_36,21,Electrical Engineering,Delhi,IIT Pune,36,2023-01-01 00:35:00
Student_37,21,Biotechnology,Mumbai,IIT Bombay,37,2023-01-01 00:36:00
Student_38,24,Chemical Engineering,Delhi,IIT Ahmedabad,38,2023-01-01 00:37:00
Student_39,19,Electrical Engineering,Delhi,IIT Ahmedabad,39,2023-01-01 00:38:00
Student_40,23,Civil Engineering,Bangalore,IIT Bombay,40,2023-01-01 00:39:00
Student_41,25,Computer Science,Lucknow,IIT Delhi,41,2023-01-01 00:40:00
Student_42,24,Electrical Engineering,Ahmedabad,IIT Chennai,42,2023-01-01 00:41:00
Student_43,25,Chemical Engineering,Bangalore,IIT Hyderabad,43,2023-01-01 00:42:00
Student_44,18,Biotechnology,Bangalore,IIT Bangalore,44,2023-01-01 00:43:00
Student_45,23,Chemical Engineering,Ahmedabad,IIT Delhi,45,2023-01-01 00:44:00
Student_46,25,Biotechnology,Bangalore,IIT Bombay,46,2023-01-01 00:45:00
Student_47,25,Biotechnology,Kolkata,IIT Lucknow,47,2023-01-01 00:46:00
Student_48,22,Biotechnology,Chennai,IIT Kolkata,48,2023-01-01 00:47:00
Student_49,22,Electrical Engineering,Jaipur,IIT Bombay,49,2023-01-01 00:48:00
Student_50,25,Biotechnology,Delhi,IIT Chennai,50,2023-01-01 00:49:00
Student_51,18,Chemical Engineering,Ahmedabad,IIT Bangalore,51,2023-01-01 00:50:00
Student_52,21,Civil Engineering,Chennai,IIT Lucknow,52,2023-01-01 00:51:00
Student_53,22,Biotechnology,Chennai,IIT Lucknow,53,2023-01-01 00:52:00
Student_54,20,Biotechnology,Ahmedabad,IIT Kolkata,54,2023-01-01 00:53:00
Student_55,24,Biotechnology,Delhi,IIT Bombay,55,2023-01-01 00:54:00
Student_56,21,Biotechnology,Chennai,IIT Bangalore,56,2023-01-01 00:55:00
Student_57,21,Electrical Engineering,Pune,IIT Kolkata,57,2023-01-01 00:56:00
Student_58,24,Computer Science,Kolkata,IIT Lucknow,58,2023-01-01 00:57:00
Student_59,24,Biotechnology,Mumbai,IIT Bangalore,59,2023-01-01 00:58:00
Student_60,25,Computer Science,Ahmedabad,IIT Bangalore,60,2023-01-01 00:59:00
Student_61,25,Chemical Engineering,Pune,IIT Jaipur,61,2023-01-01 01:00:00
Student_62,18,Computer Science,Pune,IIT Chennai,62,2023-01-01 01:01:00
Student_63,22,Civil Engineering,Mumbai,IIT Kolkata,63,2023-01-01 01:02:00
Student_64,21,Chemical Engineering,Delhi,IIT Bangalore,64,2023-01-01 01:03:00
Student_65,18,Civil Engineering,Kolkata,IIT Chennai,65,2023-01-01 01:04:00
Student_66,18,Electrical Engineering,Mumbai,IIT Bombay,66,2023-01-01 01:05:00
Student_67,19,Electrical Engineering,Delhi,IIT Lucknow,67,2023-01-01 01:06:00
Student_68,21,Mechanical Engineering,Ahmedabad,IIT Bangalore,68,2023-01-01 01:07:00
Student_69,19,Civil Engineering,Kolkata,IIT Delhi,69,2023-01-01 01:08:00
